City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,La Passe,45.5549,-0.8967,17.21,83,97,6.6,FR,1691108159
1,Tiksi,71.6872,128.8694,3.23,97,100,2.87,RU,1691108159
2,Ushuaia,-54.8,-68.3,-0.19,100,100,3.6,AR,1691108159
3,Winnemucca,40.973,-117.7357,29.03,24,75,6.17,US,1691108159
4,Olyokminsk,60.3736,120.4264,22.38,43,3,1.96,RU,1691108159
5,Margate,51.3813,1.3862,17.15,80,100,0.89,GB,1691108160
6,Kingston,17.997,-76.7936,29.53,88,20,4.63,JM,1691108160
7,Puerto Natales,-51.7236,-72.4875,3.66,73,100,9.34,CL,1691107885
8,Atafu Village,-8.5421,-172.5159,28.31,75,37,6.22,TK,1691107891
9,Petropavlovsk-Kamchatsky,53.0452,158.6483,14.33,77,75,2.0,RU,1691107954
10,Longyearbyen,78.2186,15.6401,11.91,76,75,11.83,SJ,1691108161
11,Grytviken,-54.2811,-36.5092,-4.61,78,98,5.14,GS,1691108161
12,Edinburgh Of The Seven Seas,-37.0676,-12.3116,13.78,84,100,19.22,SH,1691108161
13,Kasane,-17.8167,25.15,12.51,59,2,2.47,BW,1691108162
14,Ribeira Grande,38.5167,-28.7,23.21,86,15,2.68,PT,1691108162
15,San Ignacio De Velasco,-16.3667,-60.95,24.51,36,2,0.69,BO,1691108162
16,Miguel Auza,24.2933,-103.4503,26.1,31,50,4.72,MX,1691108163
17,Hermanus,-34.4187,19.2345,16.02,65,100,2.29,ZA,1691108163
18,Palamos,41.8484,3.1291,22.84,32,73,4.02,ES,1691108163
19,Bethel,41.3712,-73.414,22.47,67,0,3.09,US,1691108163
20,Qamdo,31.1667,97.2333,7.6,82,97,1.21,CN,1691108164
21,Port-Aux-Francais,-49.35,70.2167,2.86,79,68,15.31,TF,1691107880
22,Freeport,40.6576,-73.5832,23.99,66,0,8.75,US,1691108164
23,Waitangi,-43.9535,-176.5597,12.68,89,42,3.58,NZ,1691108164
24,Vryburg,-26.9566,24.7284,6.15,57,2,3.26,ZA,1691108165
25,Bredasdorp,-34.5322,20.0403,15.36,49,92,2.86,ZA,1691108165
26,Lompoc,34.6391,-120.4579,25.38,78,20,9.77,US,1691108165
27,Nema,57.5067,50.5011,15.91,87,41,1.18,RU,1691108166
28,Ntoum,0.3833,9.7833,22.17,85,60,1.42,GA,1691108166
29,Fort St. John,56.2499,-120.8529,18.94,63,75,4.12,CA,1691108166
30,Smithers,54.7804,-127.1743,23.18,40,40,1.54,CA,1691108166
31,Bartica,6.4,-58.6167,24.18,96,79,0.75,GY,1691108167
32,Ghanzi,-21.5667,21.7833,11.38,58,1,4.72,BW,1691108167
33,Albany,42.6001,-73.9662,22.07,80,90,0.45,US,1691107945
34,Papatowai,-46.5619,169.4708,12.77,68,100,6.47,NZ,1691108167
35,Khandyga,62.6667,135.6,20.3,54,2,0.53,RU,1691108168
36,Blackmans Bay,-43.0167,147.3167,13.07,83,100,4.24,AU,1691108168
37,Puerto Ayora,-0.7393,-90.3518,24.75,93,62,1.34,EC,1691108168
38,West Island,-12.1568,96.8225,24.99,83,75,8.75,CC,1691108168
39,Lihue,21.9789,-159.3672,30.58,65,0,7.2,US,1691108169
40,Birzai,56.2,24.75,15.3,95,80,4.76,LT,1691108169
41,Port Elizabeth,-33.918,25.5701,14.16,54,0,3.09,ZA,1691107883
